Designator,Mid X,Mid Y,Rotation,Layer
C1,20.0,-1.5,0.0,bottom
C2,15.02,-1.5,0.0,bottom
C3,9.775,-16.0,180.0,top
C4,16.0,-5.5,180.0,bottom
D1,17.5,-18.0,180.0,top
D2,14.0,-19.0,180.0,top
D3,5.675,-3.0,0.0,top
D4,10.0,-11.0,0.0,top
D5,10.0,-7.0,0.0,top
F1,9.0,-14.5,0.0,top
J1,3.0,-10.0,270.0,top
J2,27.235,-6.955,0.0,top
JP1,28.5,-17.0,180.0,top
JP2,24.5,-17.0,180.0,top
R1,9.675,-1.0,180.0,top
R10,9.675,-3.0,180.0,top
R11,5.675,-1.0,0.0,top
R12,18.5,-11.0,180.0,bottom
R13,22.5,-9.0,180.0,bottom
R2,9.5,-13.0,180.0,top
R3,10.0,-5.0,0.0,top
R4,10.0,-9.0,180.0,top
R5,10.5,-18.0,0.0,top
R6,7.0,-19.0,0.0,top
R7,22.5,-7.0,180.0,bottom
R8,22.5,-5.0,180.0,bottom
R9,22.5,-11.0,180.0,bottom
U1,17.0,-11.5,180.0,top
Y1,18.0,-3.0,180.0,top
